Year,District,Area_,Area,Production_,Production,Yield_(tonnes/ha),NDVI,EVI,FAPAR,GPP,LAI,Rainfall,Temperature,SMI
2000,Jamnagar,"3,91,300.00",3.91,"9,100.00",0.91,0.02,0.279311363,0.185788852,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2000,Junagadh,"4,06,300.00",4.06,"4,14,800.00",41.48,1.02,0.36214322,0.242621765,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2000,Rajkot,"3,81,100.00",3.81,"21,600.00",2.16,0.06,0.2839011,0.179620641,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2000,Amreli,"2,47,600.00",2.48,"42,100.00",4.21,0.17,0.270094561,0.16450248,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2000,Bhavnagar,"1,45,700.00",1.46,"13,100.00",1.31,0.09,0.27215717,0.172518527,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2001,Jamnagar,"4,09,100.00",4.09,"5,69,300.00",56.93,1.39,0.327262679,0.227180276,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2001,Junagadh,"4,44,000.00",4.44,"7,17,100.00",71.71,1.62,0.409821503,0.302695097,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2001,Rajkot,"3,68,200.00",3.68,"4,65,800.00",46.58,1.27,0.344001185,0.240411276,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2001,Amreli,"2,81,100.00",2.81,"4,08,200.00",40.82,1.45,0.38643335,0.27374786,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2001,Bhavnagar,"1,93,300.00",1.93,"2,63,400.00",26.34,1.36,0.379380434,0.268814945,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2002,Jamnagar,"4,46,200.00",4.46,"16,200.00",1.62,0.04,0.272169263,0.167695829,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2002,Junagadh,"4,57,800.00",4.58,"4,12,200.00",41.22,0.9,0.392342045,0.26307777,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2002,Rajkot,"4,30,700.00",4.31,"53,900.00",5.39,0.13,0.311328419,0.191836736,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2002,Amreli,"3,13,000.00",3.13,"2,24,500.00",22.45,0.72,0.367215688,0.236359123,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2002,Bhavnagar,"2,05,600.00",2.06,"1,77,300.00",17.73,0.86,0.331391612,0.217558718,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2003,Jamnagar,"4,36,600.00",4.37,"9,40,900.00",94.09,2.16,0.359274776,0.249372992,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2003,Junagadh,"4,15,200.00",4.15,"11,63,500.00",116.35,2.8,0.463213533,0.337049306,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2003,Rajkot,"3,69,200.00",3.69,"8,55,900.00",85.59,2.32,0.401896915,0.278574232,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2003,Amreli,"3,00,700.00",3.01,"6,99,000.00",69.9,2.32,0.458538588,0.318706744,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2003,Bhavnagar,"1,68,500.00",1.69,"2,04,200.00",20.42,1.21,0.425564719,0.294330652,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2004,Jamnagar,"4,23,600.00",4.24,"4,09,700.00",40.97,0.97,0.335221118,0.225992593,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2004,Junagadh,"4,15,800.00",4.16,"5,63,200.00",56.32,1.35,0.440386534,0.301359421,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2004,Rajkot,"4,19,800.00",4.2,"3,29,900.00",32.99,0.79,0.36954022,0.242181346,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2004,Amreli,"3,00,700.00",3.01,"94,300.00",9.43,0.31,0.375123219,0.244042329,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2004,Bhavnagar,"1,39,900.00",1.4,"60,400.00",6.04,0.43,0.346074895,0.228272311,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2005,Jamnagar,"4,26,000.00",4.26,"6,48,400.00",64.84,1.52,0.338627817,0.231376753,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2005,Junagadh,"3,99,900.00",4,"8,30,400.00",83.04,2.08,0.42460729,0.299447867,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2005,Rajkot,"3,81,200.00",3.81,"8,11,100.00",81.11,2.13,0.358124044,0.239109292,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2005,Amreli,"2,89,000.00",2.89,"3,03,400.00",30.34,1.05,0.387377971,0.25903643,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2005,Bhavnagar,"1,34,500.00",1.35,"1,94,000.00",19.4,1.44,0.36737428,0.247123171,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2006,Jamnagar,"3,30,200.00",3.3,"4,66,200.00",46.62,1.41,0.33246642,0.225746276,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
